sentiment_type,cluster_id,cluster_label,frequency,pct_of_total,avg_rating,avg_sentiment,pct_recommended,top_cabin,top_route,examples
complaint,1,Food Poor Quality,206,17.4,5.94,-0.069,60.19417475728155,Economy Class,Munich to Doha,"no food or used entertainment | sandwich no choice | chaotic boarding, wrong food"
complaint,4,Seat Seats Uncomfortable,194,16.4,4.85,-0.285,43.81443298969072,Economy Class,Bangkok to Doha,"seat in business class was broken | seat was cramped and uncomfortable | seat could not be adjusted, power failure"
complaint,0,Poor Customer Ife,185,15.6,4.98,-0.252,48.64864864864865,Economy Class,New York JFK to Doha,"zero communication, no alternatives | no compensation offered, nothing. | no support, no transport"
complaint,2,Delayed Missed Delay,136,11.5,4.55,-0.268,40.44117647058824,Economy Class,Chicago to Doha,"return flight cancelled 4 times | champagne ran out early, wine ran out mid-flight | segments delayed minimum 1 hour"
complaint,5,Boarding Long Check,109,9.2,6.14,0.047,71.55963302752293,Economy Class,Bangkok to Doha,"chaotic check-in, unclear boarding | check in and boarding chaos | poor f/b choices, unorganized boarding, late bus gate"
complaint,7,Crew Rude Check,107,9.0,5.09,-0.242,50.467289719626166,Economy Class,Dallas Ft Worth to Doha,"staff unhelpful, long wait at airport | rudely told i couldn't be moved | in-flight staff appeared exhausted"
complaint,3,Luggage Baggage Lost,67,5.7,3.15,-0.54,19.402985074626866,Economy Class,Beirut to Doha,"cabin baggage allowance too small | lost bag, no compensation | fragile luggage damaged, no compensation"
complaint,8,Wifi Free Working,65,5.5,8.52,0.615,92.3076923076923,Business Class,Doha to Goa,"wifi did not work, no butter, cheese or crackers. | mediocre wi-fi | could not get the wifi to work"
complaint,9,Lounge Access Business,63,5.3,6.11,0.06,60.317460317460316,Business Class,Bangkok to Doha,menzie lounge was very ordinary | contrast lounge had a long queue | absence of business class and lounges
complaint,6,Doha Airport From,51,4.3,5.73,0.014,54.90196078431373,Business Class,LHR to DOH,"unfortunate issue of having remote parking in doha | no notification, no reply from qatar. | 8h 30m delay at doha airport, lost a day of holiday"
praise,6,Crew Cabin Friendly,323,22.2,8.28,0.55,89.1640866873065,Economy Class,Doha to Bangkok,"onboard entertainment and cabin crew service good | high standard of cleanliness, cabin crew groomed to high standard | crew was professional, friendly, and helpful"
praise,0,Food Good Great,220,15.1,8.37,0.587,87.27272727272727,Economy Class,Bangkok to Doha,"fas managed well, food and drinks excellent | vegan special meal was thoughtfully prepared | outstanding cabin crew, comfortable aircraft, very good food and drink"
praise,4,Excellent Good Exceptional,200,13.7,8.98,0.724,94.5,Economy Class,Doha to Goa,"good service, al safwa lounge good as always | service was of excellent quality, wifi was excellent | excellent service, first class experience"
praise,8,Best Excellent Good,192,13.2,8.58,0.66,93.75,Economy Class,Frankfurt to Bangkok via Doha,"very comfortable flight | excellent service by chief purser, uneventful flights | service was fast and friendly, flight arrived early."
praise,3,Comfortable Seats Seat,143,9.8,7.92,0.47,84.61538461538461,Economy Class,Doha to London,"seat was spacious and fully flat bed | great lie-flat seat, great food, cabin felt homely | super comfortable seat, very delicious food"
praise,5,Class Experience Everything,127,8.7,8.88,0.712,94.48818897637796,Economy Class,Bangkok to Doha,"predictably high-quality product | very clean, neat, professional, friendly, humble | starlink wifi"
praise,2,Friendly Helpful Food,108,7.4,8.64,0.622,92.5925925925926,Economy Class,Manchester to Auckland via Doha,"exceptionally good staff, felt safe and well cared for | staff are always friendly and very polite | fantastic staff, fantastic food"
praise,1,Doha Best Lounge,103,7.1,8.45,0.579,92.23300970873787,Business Class,Munich to Doha,really impressed with their ground staff in doha | qatar staff did to help us | alsafwa lounge at doha is the best lounge i have seen.
praise,7,Qsuite Qsuites Good,40,2.7,8.55,0.655,92.5,Business Class,Doha to Amsterdam,"very nice qsuites | mini qsuite very private and comfortable, service friendly and efficient | qsuite is unbeatable"
